5037,D,5/26/17,0.04,0.035,0.035,0.035,11165,0
0102,D,5/26/17,0.31,0.310,0.300,0.310,58320,0
0102PA,D,5/26/17,0.23,0.225,0.220,0.225,9313,0
0102WA,D,5/26/17,0.19,0.185,0.180,0.185,10627,0
0102WB,D,5/26/17,0.19,0.185,0.175,0.180,16840,0
8591,D,5/26/17,0.985,1.020,0.985,0.990,16849,0
6718,D,5/26/17,1.65,1.680,1.640,1.660,260,0
7202,D,5/26/17,1.85,1.870,1.840,1.840,289,0
5094,D,5/26/17,2.02,2.080,2.020,2.060,13925,0
5214,D,5/26/17,0.08,0.080,0.070,0.070,16127,0
5214WA,D,5/26/17,0.005,0.005,0.005,0.005,101,0
0051,D,5/26/17,0.265,0.265,0.250,0.260,34814,0
0051WA,D,5/26/17,0.155,0.160,0.145,0.150,35060,0
5049,D,5/26/17,1.670,1.680,1.670,1.680,765,0
0022,D,5/26/17,0.005,0.005,0.005,0.005,0,0
7157,D,5/26/17,0.8,0.805,0.795,0.805,20,0
5082,D,5/26/17,0.33,0.33,0.33,0.33,0,0
5184,D,5/26/17,2.75,2.820,2.740,2.780,27162,0
7204,D,5/26/17,0.645,0.655,0.625,0.635,36937,0
8125,D,5/26/17,2.75,2.750,2.550,2.750,23,0
5355,D,5/26/17,2.28,2.290,2.280,2.280,400,0
5276,D,5/26/17,0.805,0.790,0.750,0.750,19239,0
8338,D,5/26/17,0.48,0.485,0.445,0.460,94116,0
0091,D,5/26/17,0.085,0.085,0.080,0.080,11641,0
5141,D,5/26/17,1.11,1.110,1.060,1.110,28273,0
7179,D,5/26/17,0.035,0.040,0.035,0.035,663461,0
7179WB,D,5/26/17,0.02,0.020,0.015,0.015,3100,0
3484,D,5/26/17,0.685,0.685,0.660,0.680,2623,0
7119,D,5/26/17,0.91,0.91,0.91,0.91,0,0
5132,D,5/26/17,0.935,0.940,0.930,0.935,3480,0
8176,D,5/26/17,1.26,1.250,1.190,1.210,9970,0
7212,D,5/26/17,0.72,0.715,0.710,0.715,5732,0
0152,D,5/26/17,0.05,0.050,0.050,0.050,1800,0
0152WA,D,5/26/17,0.015,0.015,0.015,0.015,47348,0
0131,D,5/26/17,0.05,0.050,0.050,0.050,8979,0
7277,D,5/26/17,1.91,1.920,1.900,1.910,36321,0
727710,D,5/26/17,0.125,0.125,0.125,0.125,0,0
727711,D,5/26/17,0.21,0.21,0.21,0.21,0,0
727712,D,5/26/17,0.08,0.08,0.08,0.08,0,0
727713,D,5/26/17,0.15,0.15,0.15,0.15,0,0
727714,D,5/26/17,0.08,0.08,0.08,0.08,0,0
727715,D,5/26/17,0.09,0.085,0.085,0.085,1200,0
727716,D,5/26/17,0.115,0.115,0.115,0.115,0,0
727717,D,5/26/17,0.16,0.150,0.150,0.150,27,0
6947,D,5/26/17,5.03,5.060,5.010,5.060,43951,0
694715,D,5/26/17,0.15,0.15,0.15,0.15,0,0
694716,D,5/26/17,0.1,0.1,0.1,0.1,0,0
694717,D,5/26/17,0.15,0.15,0.15,0.15,0,0
694718,D,5/26/17,0.085,0.085,0.085,0.085,0,0
694719,D,5/26/17,0.09,0.090,0.090,0.090,476,0
694720,D,5/26/17,0.15,0.15,0.15,0.15,0,0
0029,D,5/26/17,0.18,0.180,0.170,0.170,70503,0
0029WB,D,5/26/17,0.105,0.105,0.100,0.100,4580,0
0400GA,D,5/26/17,99.4,99.4,99.4,99.4,0,0
0400GC,D,5/26/17,101.0,101.0,101.0,101.0,0,0
0400GB,D,5/26/17,101.5,101.5,101.5,101.5,0,0
7528,D,5/26/17,2.1,2.120,2.080,2.120,270,0
5908,D,5/26/17,4.92,4.940,4.900,4.940,837,0
3026,D,5/26/17,58.0,58.800,57.700,58.000,20,0
4456,D,5/26/17,0.6,0.600,0.575,0.580,291277,0
4456WD,D,5/26/17,0.315,0.315,0.295,0.300,316806,0
7114,D,5/26/17,0.285,0.285,0.280,0.280,5147,0
7114WA,D,5/26/17,0.09,0.090,0.090,0.090,6310,0
5835,D,5/26/17,0.315,0.315,0.315,0.315,820,0
5835PA,D,5/26/17,0.32,0.32,0.32,0.32,0,0
5835WC,D,5/26/17,0.12,0.12,0.12,0.12,0,0
5265,D,5/26/17,0.285,0.280,0.280,0.280,1604,0
5265WA,D,5/26/17,0.08,0.080,0.075,0.080,361,0
7169,D,5/26/17,1.22,1.240,1.210,1.230,2013,0
7169WA,D,5/26/17,0.290,0.305,0.290,0.295,5828,0
7198,D,5/26/17,0.105,0.110,0.100,0.110,17690,0
7198WA,D,5/26/17,0.025,0.025,0.025,0.025,0,0
7198WB,D,5/26/17,0.06,0.060,0.055,0.055,3880,0
1619,D,5/26/17,1.72,1.740,1.630,1.650,251193,0
161924,D,5/26/17,0.095,0.095,0.070,0.075,20030,0
161926,D,5/26/17,0.195,0.195,0.155,0.160,123776,0
161927,D,5/26/17,0.135,0.135,0.110,0.120,30575,0
161928,D,5/26/17,0.295,0.285,0.240,0.285,1502,0
161929,D,5/26/17,0.27,0.255,0.235,0.245,7302,0
161930,D,5/26/17,0.31,0.310,0.280,0.290,14550,0
161931,D,5/26/17,0.2,0.2,0.2,0.2,0,0
161932,D,5/26/17,0.135,0.135,0.115,0.115,83574,0
161933,D,5/26/17,0.145,0.150,0.125,0.130,204613,0
161934,D,5/26/17,0.215,0.215,0.215,0.215,0,0
161935,D,5/26/17,0.14,0.140,0.125,0.125,1406,0
5216,D,5/26/17,1.3,1.310,1.260,1.270,17657,0
5216CR,D,5/26/17,0.04,0.035,0.035,0.035,101,0
5216CS,D,5/26/17,0.02,0.020,0.020,0.020,101,0
5216CT,D,5/26/17,0.005,0.005,0.005,0.005,101,0
5216CU,D,5/26/17,0.065,0.060,0.055,0.055,2290,0
5216CV,D,5/26/17,0.105,0.100,0.095,0.095,8700,0
5216CW,D,5/26/17,0.065,0.060,0.055,0.055,1450,0
7233,D,5/26/17,1.45,1.480,1.360,1.390,24582,0
3948,D,5/26/17,0.47,0.470,0.460,0.465,14140,0
3417,D,5/26/17,1.84,1.860,1.830,1.840,16696,0
341710,D,5/26/17,0.060,0.060,0.060,0.060,100,0
341711,D,5/26/17,0.11,0.11,0.11,0.11,0,0
3417C5,D,5/26/17,0.11,0.11,0.11,0.11,0,0
3417C7,D,5/26/17,0.125,0.125,0.125,0.125,0,0
